region_a,region_b,used_mw,nominal_mw,utilization_pct
china_cc,china_csg,346.44326639791416,3000.0,12.831232088811634
china_cc,china_ec,5700.204478496362,10500.0,67.85957712495669
china_cc,china_nc,3998.440414755581,5000.0,99.96101036888952
china_cc,china_nw,298.16400802521093,32000.0,1.0352916945319823
china_csg,china_ec,1799.985084213346,2000.0,99.9991713451859
china_csg,china_sw,19.952098168118027,10000.0,0.2216899796457558
china_csg,hong_kong,865.7887886597938,2000.0,54.11179929123711
china_ec,china_nc,1763.9853825291066,51000.0,4.045838033323639
china_ec,china_nw,1994.7290685802252,36000.0,6.156571199321684
china_nc,china_ne,791.001813359233,13000.0,6.760699259480624
china_nc,china_nw,6019.438389975208,8000.0,83.6033109718779
albania,greece,282.9206109435869,400.0,88.41269091987093
albania,north_macedonia,43.49046763165711,500.0,10.872616907914278
austria,czechia,480.0,600.0,100.0
austria,germany,1600.0,2000.0,100.0
austria,hungary,960.0,1200.0,100.0
austria,italy,240.0,300.0,100.0
austria,slovakia,480.0,600.0,100.0
austria,slovenia,466.5040070418597,800.0,72.89125110029059
austria,switzerland,960.0,1200.0,100.0
belgium,france,292.8098042867705,3000.0,12.20040851194877
belgium,germany,538.3501746122843,1000.0,59.81668606803158
belgium,united_kingdom,619.0128324825666,2400.0,28.65800150382253
bulgaria,greece,93.46196655805852,3350.0,3.487386811867855
bulgaria,north_macedonia,0.1749843457313602,300.0,0.0729101440547334
bulgaria,romania,436.5798543483546,1500.0,36.381654529029554
bulgaria,turkey,280.06860100099044,600.0,58.34762520853968
croatia,hungary,7.207580127663618,1000.0,0.9009475159579524
croatia,serbia,320.0,400.0,100.0
croatia,slovenia,354.4034286441561,1000.0,44.30042858051952
czechia,germany,847.4349589298638,1500.0,70.61957991082198
czechia,slovakia,393.6442875565606,1500.0,32.80369062971338
denmark,germany,167.35825801845567,1500.0,13.946521501537973
denmark,netherlands,332.6026601927906,700.0,52.79407304647471
denmark,norway,80.3860137704578,1700.0,5.2539878281344965
denmark,sweden,1901.1113811707653,2350.0,89.8870629395161
denmark,united_kingdom,1260.0,1400.0,100.0
france,germany,23.458559917688035,3000.0,0.9774399965703348
france,ireland,630.0,700.0,100.0
france,italy,1237.3308659441552,3600.0,42.962877289727615
france,luxembourg,79.68376692715921,400.0,24.901177164737256
france,spain,477.12105318736894,4800.0,11.80992705909329
france,switzerland,1816.1910607178,3000.0,75.67462752990832
france,united_kingdom,3600.0,4000.0,100.0
germany,netherlands,504.01229538280495,3800.0,16.579351821802796
