region,COMID,eff
albania,21009499,0.0
argentina,64047085,-0.4642857142857143
argentina,64049170,0.07142857142857142
argentina,64070789,-0.5000000000000002
argentina,65003343,0.0
argentina,65016191,0.1428571428571428
argentina,65016231,-0.07142857142857142
argentina,65016803,-0.21428571428571425
argentina,65019282,-0.42857142857142855
argentina,66017277,0.0
austria,22019565,0.0
austria,22022390,0.0
austria,22022422,0.0
austria,22022456,0.0
austria,22025131,0.0
austria,22027787,0.0
austria,22027803,0.0
austria,22030085,0.0
austria,22030086,0.0
austria,22030260,0.0
austria,22032314,0.0
austria,22032493,0.0
belgium,23010662,0.0
belgium,23012497,0.0
brazil_nordeste,63021223,0.0
brazil_sudeste,62103737,0.0
brazil_sudeste,62122586,3.571428571428572
brazil_sudeste,62122808,0.0
brazil_sudeste,62127304,0.0
brazil_sudeste,62130933,-0.07142857142857145
brazil_sudeste,62130948,0.0
brazil_sudeste,62136544,0.0
brazil_sudeste,62136871,0.0
brazil_sudeste,63034616,0.0
brazil_sudeste,63036393,0.0
brazil_sudeste,63038999,0.0
brazil_sudeste,63039782,0.0
brazil_sudeste,63040539,0.0
brazil_sudeste,63040558,0.0
brazil_sudeste,63040559,0.0
brazil_sudeste,63041251,0.0
brazil_sudeste,63042065,0.0
brazil_sudeste,63042621,0.0
brazil_sudeste,63044355,0.0
brazil_sudeste,64000747,0.0
brazil_sudeste,64003083,0.0
brazil_sudeste,64004301,0.0
brazil_sudeste,64005812,0.0
brazil_sudeste,64007274,0.0
brazil_sudeste,64007317,0.0
brazil_sudeste,64008935,0.0
brazil_sudeste,64011362,0.0
brazil_sudeste,64015530,0.0
brazil_sudeste,64017535,0.0
brazil_sudeste,64020272,0.0
brazil_sudeste,64023590,0.0
brazil_sudeste,64028616,-0.07142857142857145
brazil_sudeste,64034284,0.0
brazil_sul,64031229,0.0
brazil_sul,64042580,0.0
brazil_sul,64051484,-0.07142857142857142
brazil_sul,64058454,0.0
brazil_sul,64058464,0.0
bulgaria,21009553,0.0
bulgaria,21010958,-0.03571428571428571
canada_atlantic,72017636,0.0
canada_atlantic,72033061,0.0
canada_bc,78005710,0.0
canada_bc,78010748,0.0
canada_bc,78011314,0.0
canada_bc,78012047,0.0
canada_bc,78012079,0.0
canada_bc,78012580,-0.07142857142857142
canada_bc,78013112,0.2857142857142857
canada_ontario,71035583,0.0
canada_ontario,71043811,0.0
canada_ontario,71043850,0.0
canada_ontario,72032738,0.0
canada_ontario,72034357,0.0
canada_ontario,72044664,0.0
canada_ontario,72052341,0.0
canada_prairies,71005202,-0.047619047619047616
canada_prairies,71005206,0.0
canada_prairies,71006339,0.0
canada_prairies,71017935,0.0
canada_prairies,71019711,0.0
canada_prairies,71031679,0.0
canada_prairies,71035466,0.0
canada_quebec,72016185,0.0
canada_quebec,72034266,0.0
canada_quebec,72034392,0.0
canada_quebec,72043824,0.0
chile,66012971,0.0
chile,66012997,0.0
chile,66013239,0.0
chile,66013260,-0.2142857142857142
chile,66013286,0.0
chile,66013794,0.0
chile,66013977,0.0
chile,66013987,0.0
chile,66013989,0.0
chile,66014141,0.0
chile,66014737,0.0
chile,66014744,0.0
chile,66014748,0.0
chile,66015118,-0.1071428571428572
chile,66015120,0.0
chile,66015293,0.0
chile,66016354,0.0
china_cc,43022991,0.0
china_cc,43027623,0.0
china_cc,43031028,-0.07142857142857142
china_cc,43034432,0.0
china_cc,43034485,-0.3571428571428571
china_cc,43041156,0.0
china_cc,43041359,0.0
china_cc,43043998,-0.14285714285714285
china_cc,43044004,0.0
china_cc,43044023,-0.07142857142857142
china_cc,43044118,0.0
china_cc,43044131,0.0
china_cc,43048173,0.0
china_cc,43049522,0.0
china_cc,43049855,0.0
china_cc,43050442,0.0
china_cc,43052662,0.0
china_cc,43055510,0.0
china_cc,43055568,0.0
china_cc,43055976,0.0
china_cc,43057935,0.0
china_cc,43058136,0.0
china_cc,43058423,-0.14285714285714285
